datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,RFC,-1.452
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,MIDATL,-1.187
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,OTHER,-0.018
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,SOUTH,-1.574
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,WEST,-0.237
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,RTO,-2.998
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,RFC,-1.424
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,MIDATL,-1.190
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,OTHER,-0.026
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,SOUTH,-1.731
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,WEST,-0.238
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,RTO,-3.159
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,RFC,-1.428
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,MIDATL,-1.151
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,OTHER,-0.017
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,SOUTH,-1.737
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,WEST,-0.253
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,RTO,-3.141
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,RFC,-1.404
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,MIDATL,-1.202
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,OTHER,-0.017
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,SOUTH,-1.592
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,WEST,-0.247
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,RTO,-3.041
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,RFC,-1.449
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,MIDATL,-1.187
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,OTHER,-0.017
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,SOUTH,-1.819
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,WEST,-0.245
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,RTO,-3.251
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,RFC,-1.432
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,MIDATL,-1.197
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,OTHER,-0.026
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,SOUTH,-1.767
